name,brand:wikipedia,brand:wikidata,addr:street
Barclays,en:Barclays,Q245343,
Halifax,en:Halifax (bank),Q3310164,
BOC,en:Bank of China,Q790068,
RBS,en:Royal Bank of Scotland,Q160126,
HSBC,,,
HSBC,,,Gerrard Street
Coutts & Co,,,Strand
IBIS Capital,,,
Virgin Money,en:Virgin Money UK,Q2527746,Eagle Place
Halifax,en:Halifax (bank),Q3310164,Strand
Lloyds Bank,en:Lloyds Bank,Q1152847,Strand
NatWest,en:NatWest,Q2740021,Strand
HSBC,en:HSBC,Q190464,Oxford Street
HSBC UK,,Q64767453,Regent Street
PKO Bank Polska,,,
NatWest,en:NatWest,Q2740021,
Barclays,en:Barclays,Q245343,Great Portland Street
Barclays,en:Barclays,Q245343,Soho Square
NatWest,en:NatWest,Q2740021,
Lloyds Bank,en:Lloyds Bank,Q1152847,Piccadilly
Santander,en:Santander Bank,Q5835668,Piccadilly
NatWest,en:NatWest,Q2740021,Piccadilly
Barclays,en:Barclays,Q245343,Regent Street
Nationwide,en:Nationwide Building Society,Q846735,Strand
The Bank of East Asia,,,Shaftesbury Avenue
NatWest,en:NatWest,Q2740021,Henrietta Street
Halifax,en:Halifax (bank),Q3310164,New Oxford Street
Lloyds Bank,en:Lloyds Bank,Q1152847,
